Blast No.,Date of Blast,Location of Blast,Total Charge,Max Charge Delay,Station,Distance,PPV,Freq,Airblast(dbl),Flyrock,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Ton Recover,Powder Factor
MAD626201862908,2018-06-26, Pit 1 Road side East (RE) and RL400 TO RL390,869.5,43.0,Myilkal,300.0,3.94,19.0,112.0,25.0,115.0,8.0,25.0,2.5,3.0,3.0,34.78,0.0,1.73
MAD629201860037,2018-06-29, Pit 1 Road side East (RE) and RL400 TO RL390,874.64,41.0,Myil kal,430.0,1.08,27.0,118.0,30.0,115.0,8.0,26.0,2.5,3.0,3.0,33.64,0.0,1.78
MAD630201852217,2018-06-30, Pit 2 Road side West (RW) and RL 360 TO RL350,746.7,65.0,Gandhi Nagar,753.0,1.33,13.0,100.0,20.0,115.0,12.0,15.0,2.5,3.0,3.0,49.78,0.0,0.0
MAD72201853249,2018-07-02, Pit 1 Road side East (RE) and RL400 TO RL390,925.02,40.0,Myil kal,445.0,1.27,34.0,110.0,10.0,115.0,8.0,27.0,3.0,4.0,3.0,34.26,0.0,0.0
MAD73201842559,2018-07-03, Pit 1 Road side East (RE) and RL390 TO RL380,1148.52,40.0,Myil kal,440.0,1.27,19.0,118.0,10.0,115.0,8.0,34.0,3.0,4.0,3.0,33.78,0.0,0.0
MAD77201833327,2018-07-07, Pit 2 Road side West (RW) and RL370 TO RL360,725.0,36.0,Gandinagar,760.0,1.08,14.0,112.0,10.0,115.0,6.5,20.0,2.5,3.0,2.7,36.25,0.0,0.0
MAD714201832917,2018-07-14, Pit 1 Road side East (RE) and RL390 TO RL380,822.94,44.0,Myilkal,430.0,1.33,27.0,110.0,10.0,115.0,8.0,23.0,3.0,4.0,2.5,35.78,0.0,0.0
MAD717201843009,2018-07-17, Pit 2 Road side West (RW) and RL 360 TO RL350,795.26,58.0,Highway Bridge,190.0,1.21,47.0,114.0,10.0,115.0,10.0,17.0,3.0,4.0,3.0,46.78,0.0,0.0
MAD724201850843,2018-07-24, Pit 2 Road side West (RW) and RL340 TO RL330,1160.88,73.0,Gandhi Nagar,720.0,1.21,18.0,100.0,15.0,115.0,12.0,21.0,2.5,3.0,3.5,55.28,0.0,0.0
MAD728201831245,2018-07-28, Pit 2 Road side West (RW) and RL 350 TO RL340,466.8,16.0,Highway Bridge,370.0,1.52,16.0,120.0,30.0,115.0,4.0,30.0,2.5,3.0,2.0,15.56,0.0,0.0
MAD730201844035,2018-07-30, Pit 2 Road side West (RW) and RL 350 TO RL340,359.0,17.5,NH Bridge,250.0,1.27,39.0,118.0,10.0,115.0,4.0,20.0,2.5,3.0,2.5,17.95,0.0,0.0
MAD82201854704,2018-08-02, Pit 2 Road side West (RW) and RL340 TO RL330,1155.6,74.0,NH Bridge,280.0,1.14,16.0,114.0,15.0,115.0,12.0,20.0,2.5,3.0,3.0,57.78,0.0,0.0
MAD86201853023,2018-08-06, Pit 2 Road side West (RW) and RL 360 TO RL350,805.6,55.0,NH Bridge,175.0,2.92,51.0,114.0,10.0,115.0,10.0,20.0,2.5,3.0,3.0,40.28,0.0,0.0
MAD810201854920,2018-08-10, Pit 2 Road side West (RW) and RL 360 TO RL350,1158.36,70.0,Gandhi Nagar,720.0,1.33,20.0,100.0,20.0,115.0,12.0,21.0,2.5,3.0,3.0,55.16,0.0,0.0
MAD814201845254,2018-08-14, Pit 2 Road side West (RW) and RL 350 TO RL340,948.26,67.0,Highway Bridge,290.0,1.27,20.0,112.0,10.0,115.0,12.0,17.0,2.5,3.5,3.0,55.78,0.0,0.0
MAD821201852024,2018-08-18, Pit 2 Road side West (RW) and RL 370 TO RL 380,1120.08,58.0,Gandhi Nagar,720.0,1.4,1.64,100.0,15.0,115.0,11.0,26.0,2.5,3.5,3.0,43.08,0.0,0.0
MAD821201855311,2018-08-21, Pit 1 Road side East (RE) and RL390 TO RL380,1546.6,40.0,Myl Kal,393.0,1.21,22.0,130.0,15.0,115.0,8.0,37.0,2.5,3.0,3.0,41.8,0.0,0.0
MAD822201850324,2018-08-22, Pit 2 Road side West (RW) and RL370 TO RL360,1299.82,76.0,NH Bridge,329.0,1.14,47.0,114.0,20.0,115.0,12.0,17.0,2.5,3.0,2.6,76.46,0.0,0.0
MAD96201842305,2018-09-06, Pit 2 Road side West (RW) and RL 360 TO RL350,1205.6,71.0,Highway Bridge,230.0,1.97,57.0,122.0,0.0,115.0,12.0,20.0,2.5,3.2,3.0,60.28,0.0,0.0
MAD98201852116,2018-09-08, Pit 2 Road side West (RW) and RL 370 TO RL 380,1424.85,67.0,gandhinagar,500.0,1.59,15.0,100.0,0.0,115.0,12.0,21.0,2.5,3.0,3.0,67.85,5000.0,0.0
MAD911201844650,2018-09-11, Pit 1 Road side East (RE) and RL390 TO RL380,1255.6,76.0,MYLKAL,380.0,1.21,16.0,106.0,10.0,115.0,12.0,20.0,3.0,4.0,3.0,62.78,0.0,0.0
MAD914201834244,2018-09-14, Pit 2 Road side West (RW) and RL 360 TO RL350,536.12,48.0,Highway Bridge,320.0,1.14,47.0,114.0,10.0,115.0,10.0,13.0,2.5,3.0,3.0,41.24,0.0,0.0
MAD919201843949,2018-09-19, Pit 1 Road side East (RE) and RL400 TO RL390,1574.37,32.0,Hill back RE house,338.0,1.4,39.0,100.0,15.0,115.0,6.5,51.0,2.5,3.5,2.5,30.87,0.0,0.0
MAD924201850008,2018-09-24, Pit 2 Road side West (RW) and RL370 TO RL360,466.0,27.0,High way Bridge,150.0,1.71,43.0,117.0,10.0,115.0,5.5,20.0,2.5,3.0,2.5,23.3,0.0,0.0
MAD929201864428,2018-09-29, Pit 2 Road side West (RW) and RL370 TO RL360,1683.76,64.76,Gandinagar,700.0,1.97,1.46,100.0,0.0,115.0,12.0,26.0,2.5,3.0,3.0,64.76,6500.0,3.86
MAD109201833011,2018-10-09, Pit 2 Road side West (RW) and RL390 TO RL380,824.78,38.0,Gandhi Nagar,650.0,1.02,18.0,100.0,10.0,115.0,7.5,22.0,2.5,3.5,2.5,37.49,0.0,0.0
MAD1112201845505,2018-11-12, Pit 2 Road side West (RW) and RL 370 TO RL 380,1224.85,72.0,Highway Bridge,175.0,3.3,47.0,120.8,10.0,115.0,12.0,17.0,2.5,3.0,2.5,72.05,0.0,0.0
MAD1115201833453,2018-11-14, Pit 1 Road side East (RE) and RL 368 TO RL 356,633.36,68.0,High way bridge,320.0,1.67,0.0,114.0,20.0,115.0,12.0,12.0,2.5,3.5,3.0,52.78,0.0,0.0
MAD1117201844940,2018-11-16, Pit 2 Road side West (RW) and RL 360 TO RL350,350.0,18.0,Highway Bridge,265.0,1.21,0.0,112.0,10.0,115.0,4.0,20.0,2.5,3.0,2.0,17.5,0.0,0.0
MAD1119201863312,2018-11-19, Pit 1 Road side East (RE) and RL390 TO RL380,450.0,23.0,Highway Bridge,250.0,2.48,47.0,114.0,10.0,115.0,5.0,20.0,2.5,3.0,2.0,22.5,0.0,0.0
MAD1120201860434,2018-11-19, Pit 1 Road side East (RE) and RL390 TO RL380,1098.9,75.0,Mylkal,340.0,1.91,28.0,117.0,10.0,115.0,12.0,18.0,2.5,3.0,3.0,61.05,0.0,0.0
MAD1121201860952,2018-11-21, Pit 1 Road side East (RE) and RL390 TO RL380,1700.16,77.0,Highway Bridge,330.0,2.16,23.0,126.8,15.0,115.0,12.0,24.0,2.5,3.0,3.0,70.84,0.0,0.0
MAD1123201855549,2018-11-22, Pit 2 Road side West (RW) and RL370 TO RL360,799.71,41.0,Gandhi Nagar,650.0,1.02,20.0,100.0,10.0,115.0,9.5,19.0,2.5,3.5,3.0,42.09,0.0,0.0
MAD11272018101334,2018-11-24, Pit 2 Road side West (RW) and RL390 TO RL380,797.13,71.0,Gandhi Nagar,600.0,2.79,16.0,100.0,10.0,115.0,12.0,17.0,2.5,3.5,3.0,46.89,0.0,0.0
MAD1130201860836,2018-11-29, Pit 1 Road side East (RE) and RL390 TO RL380,583.32,63.0,MylKal,345.0,1.02,34.0,112.0,5.0,115.0,12.0,12.0,2.5,3.0,3.0,48.61,0.0,0.0
MAD1130201855909,2018-11-30, Pit 2 Road side West (RW) and RL370 TO RL360,933.44,34.0,Highway bridge,200.0,1.59,39.0,106.0,5.0,115.0,12.0,16.0,2.5,3.0,2.5,58.34,0.0,0.0
MAD123201861142,2018-12-02, Pit 1 Road side East (RE) and RL390 TO RL380,894.4,72.0,Myl Kal,350.0,4.45,34.0,100.0,10.0,115.0,12.0,16.0,2.5,3.0,3.5,55.9,0.0,0.0
MAD124201860615,2018-12-03, Pit 1 Road side East (RE) and RL390 TO RL380,900.0,40.0,Myl Kal,355.0,1.21,43.0,119.0,10.0,115.0,8.0,20.0,2.5,3.5,3.0,45.0,0.0,0.0
MAD125201861117,2018-12-05, Pit 1 Road side East (RE) and RL390 TO RL380,797.18,35.0,Myl kal,380.0,1.14,23.0,100.0,10.0,115.0,7.5,23.0,2.5,3.0,2.5,34.66,0.0,0.0
MAD126201843126,2018-12-06, Pit 1 Road side East (RE) and RL390 TO RL380,925.0,47.0,Highway Bridge,200.0,2.35,17.0,112.0,10.0,115.0,8.0,20.0,2.5,3.5,3.0,46.25,0.0,0.0
MAD1210201854616,2018-12-10, Pit 2 Road side West (RW) and RL 360 TO RL350,411.0,69.0,Gandhi Nagar,650.0,1.14,18.0,100.0,10.0,115.0,12.0,6.0,2.5,3.0,3.0,68.5,0.0,0.0
MAD1212201882640,2018-12-11, Pit 2 Road side West (RW) and RL390 TO RL380,1149.85,39.65,Gandinagar,700.0,1.46,18.0,100.0,0.0,121.0,7.5,29.0,3.0,3.5,3.0,39.65,0.0,0.0
MAD1215201830941,2018-12-15, Pit 1 Road side East (RE) and RL390 TO RL380,1199.88,81.0,Gandhi Nagar,375.0,2.41,30.0,112.0,10.0,115.0,12.0,18.0,2.5,3.0,4.0,66.66,0.0,0.0
MAD1219201853335,2018-12-19, Pit 2 Road side West (RW) and RL390 TO RL380,799.92,73.0,Gandinagar,650.0,1.14,18.0,100.0,0.0,121.0,11.5,11.0,3.0,3.0,3.0,72.72,2600.0,3.25
MAD13201945632,2019-01-01, Pit 1 Road side East (RE) and RL390 TO RL380,1200.0,60.0,Myl kal,355.0,1.4,0.0,125.6,10.0,115.0,12.0,20.0,2.5,3.0,3.0,60.0,0.0,0.0
MAD15201955555,2019-01-03, Pit 1 Road side East (RE) and RL390 TO RL380,1400.0,70.0,Highway Bridge,225.0,1.14,21.0,120.0,10.0,115.0,12.0,20.0,2.5,3.0,3.0,70.0,0.0,0.0
MAD17201961133,2019-01-07, Pit 1 Road side East (RE) and RL390 TO RL380,474.98,15.0,Highway Bridge,300.0,2.54,57.0,117.0,20.0,115.0,4.0,34.0,2.5,3.0,2.0,13.97,0.0,0.0
MAD110201944018,2019-01-09, Pit 1 Road side East (RE) and RL390 TO RL380,1049.92,65.0,Mylkal,360.0,2.16,17.0,119.0,10.0,115.0,12.0,16.0,2.5,3.0,3.0,65.62,0.0,0.0
MAD115201945154,2019-01-14, Pit 1 Road side East (RE) and RL390 TO RL380,1174.88,74.0,Highway Bridge,175.0,3.18,39.0,131.0,15.0,115.0,12.0,16.0,2.5,3.0,3.0,73.43,0.0,0.0
MAD118201934725,2019-01-17, Pit 2 Road side West (RW) and RL390 TO RL380,675.0,34.0,HighwayBridge,275.0,1.08,18.0,116.0,10.0,115.0,6.0,20.0,2.5,3.5,2.0,33.75,0.0,0.0
MAD123201960941,2019-01-22, Pit 1 Road side East (RE) and RL385,1574.79,72.0,Highway Bridge,325.0,1.4,21.0,119.0,20.0,115.0,12.0,21.0,2.5,3.0,3.0,74.99,0.0,0.0
MAD126201951049,2019-01-25, Pit 1 Road side East (RE) and RL370 to RL360,400.29,13.0,Myl kal,360.0,1.21,34.0,112.0,10.0,115.0,4.0,33.0,2.0,3.0,2.0,12.13,0.0,0.0
MAD26201942140,2019-01-31, Pit 2 Road side West (RW) and RL390 TO RL380,549.89,50.0,Gandhi Nagar,600.0,1.08,20.0,100.0,20.0,115.0,10.0,11.0,2.5,3.5,3.0,49.99,0.0,0.0
MAD27201961544,2019-02-05, Pit 1 Road side East (RE) and RL385,939.96,68.0,Highway Bridge,250.0,2.1,51.0,114.0,10.0,115.0,11.0,14.0,2.5,3.5,3.0,67.14,0.0,0.0
MAD29201935258,2019-02-09, Pit 1 Road side East (RE) and RL380 to RL370,799.82,57.0,Mylkal,355.0,1.46,39.0,116.0,10.0,115.0,10.0,14.0,2.5,3.5,3.0,57.13,0.0,0.0
MAD219201945803,2019-02-18, Pit 1 Road side East (RE) and RL380 to RL370,794.31,0.0,Myl kal,350.0,1.51,0.0,121.0,15.0,115.0,6.0,33.0,2.5,3.0,2.5,24.07,0.0,0.0
MAD219201945803,2019-02-18, Pit 1 Road side East (RE) and RL380 to RL370,794.31,0.0,Myl kal,350.0,1.59,28.0,121.0,15.0,115.0,6.0,33.0,2.5,3.0,2.5,24.07,0.0,0.0
MAD222201952153,2019-02-21, Pit 2 Road side West (RW) and RL 370 TO RL 380,2074.68,61.0,High way Bridge,250.0,2.86,37.0,114.0,10.0,115.0,10.0,34.0,2.5,3.0,3.0,61.02,0.0,0.0
MAD2252019114334,2019-02-23, Pit 2 Road side West (RW) and RL390 TO RL380,1774.64,63.0,Gandhi Nagar,650.0,1.91,15.0,100.0,15.0,115.0,10.0,28.0,2.5,3.0,3.0,63.38,0.0,0.0
MAD37201960916,2019-03-06, Pit 1 Road side East (RE) and RL 368 TO RL 356,632.72,80.0,Mylkal,325.0,2.98,16.0,109.0,10.0,115.0,12.0,8.0,2.5,3.0,3.0,79.09,0.0,0.0
MAD38201943522,2019-03-08, Pit 1 Road side East (RE) and RL 368 TO RL 356,1516.2,49.0,Mylkal,335.0,2.73,64.0,119.0,15.0,115.0,8.0,30.0,2.5,3.0,3.0,50.54,0.0,0.0
MAD39201930939,2019-03-09, Pit 2 Road side West (RW) and RL 360 TO RL350,825.0,69.0,Gandhi Nagar,625.0,1.14,12.0,100.0,0.0,100.0,12.0,12.0,2.5,3.0,3.0,68.75,0.0,0.0
MAD313201954457,2019-03-13, Pit 2 Road side West (RW) and RL370 TO RL360,383.4,14.0,Highway Bridge,325.0,1.08,34.0,116.0,30.0,100.0,4.0,30.0,2.5,3.0,2.0,12.78,0.0,0.0
MAD318201944409,2019-03-18, Pit 1 Road side East (RE) and RL356 TO RL344,849.78,47.22,Mailkal,350.0,1.97,57.0,110.0,0.0,115.0,8.0,18.0,2.5,3.0,2.5,47.21,2808.0,3.3
MAD320201994838,2019-03-20, Pit 2 Road side West (RW) and RL370 TO RL360,699.93,78.0,Gandhi Nagar,650.0,1.27,1.33,100.0,15.0,115.0,12.0,9.0,2.5,3.0,3.0,77.77,0.0,0.0
MAD321201970324,2019-03-21, Pit 1 Road side East (RE) and RL380 to RL370,724.5,16.0,Mylkal,370.0,1.08,28.0,112.0,15.0,115.0,4.0,45.0,2.5,3.0,2.0,16.1,0.0,0.0
MAD330201925904,2019-03-29, Pit 1 Road side East (RE) and RL 380 TO RL 368,319.68,13.0,Myl kal,360.0,1.14,27.0,112.0,15.0,115.0,4.0,24.0,2.5,3.0,2.0,13.32,0.0,0.0
MAD42201961231,2019-03-30, Pit 1 Road side East (RE) and RL390 TO RL380,575.1,13.0,Myl kal,345.0,1.52,30.0,112.0,20.0,115.0,4.0,45.0,2.5,3.0,2.0,12.78,0.0,0.0
MAD44201944843,2019-04-04, Pit 1 Road side East (RE) and RL 368 TO RL 356,299.77,10.0,Highway Bridge,200.0,3.56,43.0,121.0,20.0,115.0,3.5,31.0,2.2,3.0,2.0,9.67,0.0,0.0
MAD49201955534,2019-04-08, Pit 2 Road side West (RW) and RL370 TO RL360,350.0,18.0,Highway Bridge,175.0,1.78,51.0,115.6,10.0,115.0,4.0,20.0,2.5,3.0,2.0,17.5,0.0,0.0
MAD412201955627,2019-04-11, Pit 2 Road side West (RW) and RL370 TO RL360,399.96,67.0,Gandhi Nagar,600.0,1.33,11.0,100.0,15.0,115.0,12.0,6.0,2.5,3.5,3.0,66.66,0.0,0.0
MAD413201954200,2019-04-12, Pit 2 Road side West (RW) and RL370 TO RL360,674.8,49.0,Highway Bridge,275.0,1.4,57.0,112.0,10.0,115.0,8.0,14.0,2.5,3.0,3.0,48.2,0.0,0.0
MAD414201945830,2019-04-13, Pit 2 Road side West (RW) and RL370 TO RL360,1109.16,85.0,Highway Bridge,200.0,3.18,64.0,112.0,10.0,115.0,12.0,13.0,2.5,3.5,3.0,85.32,0.0,0.0
MAD418201993535,2019-04-17, Pit 1 Road side East (RE) and RL390 TO RL380,800.0,50.0,Mylkal,340.0,1.97,19.0,109.5,10.0,115.0,9.0,16.0,2.5,3.0,3.0,50.0,0.0,0.0
MAD424201945624,2019-04-23, Pit 2 Road side West (RW) and RL370 TO RL360,950.04,69.0,Highway Bridge,250.0,2.92,39.0,112.0,10.0,115.0,12.0,14.0,2.5,3.0,3.0,67.86,0.0,0.0
MAD425201913940,2019-04-24, Pit 2 Road side West (RW) and RL 360 TO RL350,624.8,16.0,HW,350.0,1.46,27.0,112.0,15.0,115.0,4.0,40.0,2.5,3.0,2.0,15.62,0.0,0.0
MAD54201934231,2019-05-03, Pit 1 Road side East (RE) and RL390 TO RL380,525.15,12.0,Mylkal,425.0,1.46,37.0,124.0,15.0,115.0,3.5,45.0,2.2,3.0,2.0,11.67,0.0,0.0
MAD55201993825,2019-05-04, Pit 1 Road side East (RE) and RL 380 to 370,450.0,56.0,Highway bridge,260.0,1.02,17.0,114.0,10.0,115.0,11.0,8.0,2.5,3.0,3.0,56.25,0.0,0.0
MAD511201945008,2019-05-10, Pit 2 Road side West (RW) and RL 370 TO RL 380,949.92,40.0,Highway Bridge,325.0,2.98,34.0,121.0,10.0,115.0,7.0,24.0,2.5,3.0,2.5,39.58,0.0,0.0
MAD515201981623,2019-05-14, Pit 1 Road side East (RE) and RL390 TO RL380,600.0,60.0,Highway Bridge,200.0,1.78,26.0,112.0,10.0,115.0,11.5,10.0,2.5,3.0,3.0,60.0,0.0,0.0
MAD517201955442,2019-05-17, Pit 1 Road side East (RE) and RL385,900.18,50.0,Highway Bridge,210.0,1.84,28.0,114.0,10.0,115.0,9.0,18.0,2.5,3.0,3.0,50.01,0.0,0.0
